노선,건수(1통행)_일반,건수(1통행)_청소년,건수(1통행)_어린이,건수(2통행)_일반,건수(2통행)_청소년,건수(2통행)_어린이,건수(3통행)_일반,건수(3통행)_청소년,건수(3통행)_어린이,교통카드건수합계
1,374134,20773,3145,116437,3744,398,18002,309,46,536988
10,1932743,212792,30583,542268,32589,2939,97437,3884,249,2855484
100,1021187,57891,8510,221911,7322,592,39959,876,116,1358364
100-1,1449231,99949,14163,358735,14252,1396,60506,1668,187,2000087
1000,518979,15831,3132,133277,3530,437,15053,345,35,690619
1001,1838932,71240,7487,525115,19725,1150,39865,1317,90,2504921
1002,1128153,56106,5165,357006,16062,880,44238,1154,61,1608825
1003,1768550,66135,11111,337763,10514,841,33661,803,64,2229442
1004,878382,25160,2684,277673,8492,583,20846,471,64,1214355
1005,139331,1999,650,44699,726,55,10329,157,15,197961
1006,150352,13290,1544,59169,3732,231,4319,334,18,232989
1008,773459,87912,7655,192946,11209,657,28632,1185,67,1103722
1009,225629,11179,1931,46675,1586,125,7643,356,10,295134
101,1966264,106497,25881,523573,17838,1853,88688,1892,196,2732682
1010,873935,63129,7792,233837,11517,786,29228,1099,101,1221424
1011,478236,35765,3500,229662,11974,836,12190,482,53,772698
103,2068803,192629,32271,552697,26767,2768,99066,2318,253,2977572
105,501448,21590,3038,181783,7859,495,28044,626,69,744952
107,1187364,131216,26232,331259,23449,1536,50866,1855,150,1753927
108,1713793,118109,26206,503209,20305,1962,70447,1647,206,2455884
11,1865426,163847,29672,454460,22068,2504,72724,1695,185,2612581
110,1367434,56602,12872,327594,10194,796,49821,837,75,1826225
110-1,2959918,184613,26297,980338,41512,2637,132645,3133,278,4331371
111,2302006,170657,28597,488779,20238,2167,76694,2113,166,3091417
111-1,1039697,82532,11172,323805,14350,1208,47791,1945,112,1522612
113,3651867,265356,53921,953294,39144,5267,150251,3106,342,5122548
115,345540,27267,6440,103535,5031,410,22595,508,40,511366
115-1,3261914,321478,53529,698712,31729,2768,104115,3033,295,4477573
121,551514,39588,6905,112467,4173,442,19086,500,50,734725
123,1387413,62751,8153,399379,11749,1029,50997,1108,90,1922669
124,645654,29299,4788,180877,5239,612,29954,464,58,896945
125,138761,6681,3116,65184,2301,349,9810,363,14,226579
126,3853988,296383,41996,1386961,61030,4580,152936,4067,305,5802246
127,842032,50029,7304,219196,6269,528,40872,850,99,1167179
128-1,2000398,162720,17158,548767,18973,1557,123879,3614,276,2877342
129-1,2177480,126230,14563,639731,22233,1651,86097,1715,168,3069868
131,1507102,142074,25463,335389,14258,1370,56467,1502,140,2083765
133,2963175,173568,37422,800175,31038,3714,133215,3293,330,4145930
134,1551442,73680,17237,469377,19314,3629,89897,1659,294,2226529
138,2157560,149160,28106,566556,23406,2114,94497,2033,239,3023671
